quinto,クイント
﻿solar power,ソーラーパワー
﻿solar plane,ソーラープレーン
﻿solarization,ソラリゼーション
﻿solarium,ソラリアム
﻿laser diode,レーザーダイオード
﻿Vaishya,バイシャ
﻿halal,ハラール
﻿dust,ダスト
﻿health care,ヘルスケア
﻿personal trainer,ヘルスケアトレーナー
﻿animal trainer,アニマルトレーナー
﻿strainer,ストレーナー
﻿wombat,ウォンバット
﻿capsaicin,カプサイシン
﻿Tasmanian Aborigine,タスマニアアボリジニ
﻿Korean,コリアン
﻿Tasmanian tiger,タスマニアタイガー
﻿taurine,タウリン
﻿pink grapefruit,ピンクグレープフルーツ
﻿blood orange,ブラッドオレンジ
﻿bloodhound,ブラッドハウンド
﻿tea party,ティーパーティー
﻿tea bag,ティーバッグ
﻿teapot,ティーポット
﻿tearoom,ティールーム
﻿admiral,アドミラル
﻿wine bar,ワインバー
﻿winding road,ワインディングロード
﻿wine vinegar,ワインビネガー
﻿wine rack,ワインラック
﻿marriage,マリアージュ
﻿pepper mill,ペッパーミル
﻿navigator,ナビ
﻿hydrangea,ハイドランジア
﻿hybrid car,ハブリッドカー
﻿footrest,フットレスト
﻿saga,サガ
﻿Sterling silver,スターリングシルバー
﻿counterintelligence,カウンターインテリジェンス
﻿counterculture,カウンターカルチャー
﻿cocoon,コクーン
﻿aroma,アロマ
﻿aroma oil,アロマオイル
﻿digital remastering,デジタルリマスター
﻿championship,チャンピオンシップ
﻿postman,ポストマン
﻿ice climbing,アイスクライミング
﻿petanque,ペタンク
﻿juggling,ジャグリング
﻿blue cheese,ブルーチーズ
﻿walking,ウォーキング
﻿cocktail sauce,カクテルソース
﻿tomato sauce,トマトソース
﻿brown sauce,ブラウンソース
﻿mustard sauce,マスタードソース
﻿hexose,ヘキソース
﻿Cherokee,チェロキー
﻿first kiss,ファーストキス
﻿Monday,マンデー
﻿Tuesday,チューズデー
﻿Wednesday,ウエンズデー
﻿Thursday,サーズデー
﻿Friday,フライデー
﻿heat up,ヒートアップ
﻿to realize,リアライズ
﻿time capsule,タイムカプセル
﻿sea,シー
﻿bitters,ビターズ
﻿January,ジャニュアリー
﻿February,フェブラリー
﻿marching band,マーチングバンド
﻿April,エープリル
﻿May,メイ
﻿mayflower,メイフラワー
﻿June,ジューン
﻿August,オーガスト
﻿September,セプテンバー
﻿October,オクトーバー
﻿November,ノベンバー
﻿December,ディセンバー
﻿panther,パンサー
﻿ramjet,ラムジェット
﻿ramjet engine,ラムジェットエンジン
﻿scramjet,スクラムジェット
﻿lox,ラックス
﻿fruit vinegar,フルーツビネガー
﻿hair iron,ヘアアイロン
﻿myelin,ミエリン
﻿cyclophosphamide,シクロホスファミド
﻿holistic health,ホリスティックヘルス
﻿prolactin,プロラクチン
﻿reverse engineering,リバースエンジニアリング
﻿cloning,クローニング
﻿phoneme,フォニーム
﻿fibrin,フィブリン
﻿acetylcellulose,アセチルセルロース
﻿cytokine,サイトカイン
﻿interleukin,インターロイキン
﻿phenol,フェノール
﻿phenolphthalein,フェノールフタレイン
﻿ecdysone,エクダイソン
﻿kinetin,カイネチン
﻿peptide hormone,ペプチドホルモン
﻿steroid hormone,ステロイドホルモン
﻿Douglas fir,ダグラスファー
﻿margarita,マルガリータ
﻿choice,チョイス
﻿meatball,ミートボール
﻿door chime,ドアチャイム
﻿doorbell,ドアベル
﻿cheerleading,チアリーディング
﻿sweatshirt,スウェットシャツ
﻿sweatpants,スウェットパンツ
﻿Christmas wreath,クリスマスリース
﻿exemption,エグゼンプション
﻿Aegis system,イージスシステム
﻿cheeseburger,チーズバーガー
﻿grand finale,グランドフィナーレ
﻿trading card,トレーディングカード
﻿ovalbumin,オボアルブミン
﻿protease,プロテアーゼ
﻿enzyme,エンザイム
﻿SuperBall,スーパーボール
﻿alloy,アロイ
﻿Crusade,クルーセード
﻿crusader,クルーセーダー
﻿lampshade,ランプシェード
﻿Indian cobra,インドコブラ
﻿king cobra,キングコブラ
﻿mamba,マンバ
﻿worldwide,ワールドワイド
﻿cuff links,カフリンクス
﻿pewter,ピューター
﻿dignity,ディグニティ
﻿snorkeling,スノーケリング
﻿desktop publishing,デスクトップパブリッシング
﻿catchy,キャッチー
﻿menu bar,メニューバー
﻿buffet,ブッフェ
﻿working mother,ワーキングマザー
﻿administrator,アドミニストレータ
﻿stolen,ストールン
﻿granite,グラニット
﻿Mendelism,メンデリズム
﻿customer,カスタマー
﻿digital camera,デジタルカメラ
﻿lysosome,ライソゾーム
﻿acromegaly,アクロメガリー
﻿lithosphere,リソスフェア
﻿asthenosphere,アセノスフェア
﻿eclogite,エクロジャイト
﻿Caucasoid,コーカソイド
﻿Mongoloid,モンゴロイド
﻿Australoid,オーストラロイド
﻿tamarin,タマリン
﻿Hasidism,ハシディズム
﻿aurochs,オーロックス
﻿kosher,コーシャー
﻿Hitler Youth,ヒトラーユーゲント
﻿plasmodium,プラスモディウム
﻿mustard gas,マスタードガス
﻿peperoncino,ペペロンチーノ
﻿confit,コンフィ
﻿Hollywood star,ハリウッドスター
﻿quick bread,クイックブレッド
﻿quick bread,クイックパン
﻿grilled cheese sandwich,グリルドチーズサンドイッチ
﻿concordance,コンコーダンス
﻿gibbon,ギボン
﻿marzipan,マジパン
﻿Nematoda,ネマトーダ
﻿badminton,バド
﻿trolley,トロリー
﻿copy control,コピーコントロール
﻿sacrament,サクラメント
﻿tachyon,タキオン
﻿understand,アンダースタンド
﻿zodiac,ゾーディアック
﻿zebra,ゼブラ
﻿youngster,ヤングスター
﻿placement,プレースメント
﻿esthetic,エステ
﻿berserker,バーサーカー
﻿hang glider,ハングライダー
﻿dangerous,デンジャラス
﻿impossible,インポッシブル
﻿notebook,ノートブック
﻿peccary,ペッカリー
﻿bon voyage,ボンボワイヤージュ
﻿hemlock,ヘムロック
﻿montmorillonite,モンモリロナイト
﻿bentonite,ベントナイト
﻿micelle,ミセル
﻿oxonium ion,オキソニウムイオン
﻿hydronium ion,ヒドロニウムイオン
﻿hydroxonium ion,ヒドロキソニウムイオン
﻿lion tamarin,ライオンタマリン
﻿project leader,プロジェクトリーダー
﻿exclamation mark,エクスクラメーションマーク
﻿exception,エクセプション
﻿expressionism,エクスプレッショニズム
﻿Parnassian,パルナシアン
﻿Apocrypha,アポクリファ
﻿Greek,グリーク
﻿goatskin,ゴートスキン
﻿diaspora,ディアスポラ
﻿tapa cloth,タパクロス
﻿atomism,アトミズム
﻿garter snake,ガータースネーク
﻿glucagon,グルカゴン
﻿somatostatin,ソマトスタチン
﻿proteinase,プロテイナーゼ
﻿chymotrypsin,キモトリプシン
﻿lipase,リパーゼ
﻿Thanatos,タナトス
﻿thanatology,サナトロジー
﻿Yahweh,ヤハウェ
﻿consultation,コンサル
﻿consul,コンスル
﻿consultation,コンサルテイション
﻿steam roller,スチームローラー
﻿lectin,レクチン
﻿lunch box,ランチボックス
﻿navigation,ナビゲーション
﻿bodyguard,ボディーガード
﻿hairstyle,ヘアースタイル
﻿fruit juice,フルーツジュース
﻿freelance writer,フリーライター
﻿thanks,サンクス
﻿flight attendant,フライトアテンダント
﻿goulash,グーラッシュ
﻿bus tour,バスツアー
﻿hard work,ハードワーク
﻿soccer ball,サッカーボール
﻿typo,タイポ
﻿buttered toast,バタートースト
﻿homo faber,ホモファーベル
﻿rescue diver,レスキューダイバー
﻿buddy system,バディシステム
﻿nitrox,ナイトロックス
﻿drift,ドリフト
﻿scuba diver,スクーバダイバー
﻿cave diving,ケイブダイビング
﻿cavern,カバーン
﻿open water diver,オープンウオーターダイバー
﻿ice diving,アイスダイビング
﻿primrose,プリムローズ
﻿diving knife,ダイビングナイフ
﻿acronym,アクロニム
﻿scuba diving,スクーバダイビング
﻿best type,ベストタイプ
﻿team play,チームプレイ
﻿tennis shoes,テニスシューズ
﻿tennis player,テニスプレーヤー
﻿octopus,オクトパス
﻿dive computer,ダイビングコンピュータ
﻿digital pen,デジタルペン
﻿diving style,ダイビングスタイル
﻿nectarine,ネクタリン
﻿isostasy,アイソスタシー
﻿trimix,トライミックス
﻿heliox,ヘリオックス
﻿metal halide,メタルハイドライト
﻿halogen light,ハロゲンライト
﻿poolside,プールサイド
﻿double booking,ダブルブッキング
﻿chocolate cake,チョコレートケーキ
﻿kiss scene,キスシーン
﻿intifada,インティファーダ
﻿rebreather,リブリーザー
﻿playlist,プレイリスト
﻿lifesaver,ライフセーバー
﻿tea set,ティーセット
﻿home schooling,ホームスクーリング
﻿happy slapping,ハッピースラッピング
﻿operant,オペラント
﻿disadvantage,ディスアドバンテージ
﻿new academism,ニューアカ
﻿socialism,ソーシャリズム
﻿townwear,タウンウェア
﻿first contact,ファーストコンタクト
﻿hash browns,ハッシュブラウン
﻿compilation,コンピレーション
﻿valkyrie,ワルキューレ
﻿gamma globulin,ガンマグロブリン
﻿Salk vaccine,ソークワクチン
﻿toxoid,トキソイド
﻿anatoxin,アナトキシン
﻿formaldehyde,ホルムアルデヒド
﻿telomere,テロメア
﻿telomerase,テロメラーゼ
﻿tubulin,チューブリン
﻿subunit,サブユニット
﻿the Italian renaissance,イタリアルネッサンス
﻿reception room,レセプションルーム
﻿bisque doll,ビスクドール
﻿localization,ローカライズ
﻿guest room,ゲストルーム
﻿nomenklatura,ノーメンクラツーラ
﻿karaoke bar,カラオケバー
﻿phlogiston,フロギストン
﻿vertigo,バーティゴ
﻿soiree,ソワレ
﻿Indian sari,インドサリー
﻿ballet school,バレエスクール
﻿professional ballet dancer,プロバレエダンサー
﻿Negrito,ネグリト
﻿Negrillo,ネグリロ
﻿supertitle,スーパータイトル
﻿ranking,ランクイン
﻿strong,ストロング
﻿Hawaiian,ハワイアン
﻿sunscreen,サンスクリーン
﻿new model,ニューモデル
﻿single life,シングルライフ
﻿double bed,ダブルベッド
﻿double overhead camshaft,ダブルオーバーヘッドカムシャフト
﻿single overhead camshaft,シングルオーバーヘッドカムシャフト
﻿camshaft,カムシャフト
﻿double bind,ダブルバインド
﻿contrabassoon,コントラファゴット
﻿contrabassoon,ダブルバスーン
﻿double play,ダブルプレー
﻿doubleheader,ダブルヘッダー
﻿falsetto,ファルセット
﻿countertenor,カウンターテナー
﻿codon,コドン
﻿nucleoside,ヌクレオシド
﻿adenosine,アデノシン
﻿ribose,リボース
﻿pentose,ペントース
﻿xylose,キシロース
﻿amylose,アミロース
﻿galactose,ガラクトース
﻿saccharose,サッカロース
﻿deoxyribose,デオキシリボース
﻿triose,トリオース
﻿viscose rayon,ビスコースレーヨン
﻿fructose,フルクトース
﻿prose,プローズ
﻿maltose,マルトース
﻿mannose,マンノース
﻿wind rose,ウィンドローズ
﻿user guide,ユーザーガイド
﻿polishing,ポリサージュ
﻿Watergate,ウォーターゲート
﻿basketball team,バスケットチーム
﻿packaging,パッケ
﻿German shepherd dog,ジャーマンシェパードドッグ
﻿German sheperd,ジャーマンシェパード
﻿cubicle,キュービクル
﻿concrete,コンクリ
﻿visual,ヴィジュアル
﻿putonghua,プートンファ
﻿jazz club,ジャズクラブ
﻿pitchblende,ピッチブレンド
﻿doorknob,ドアノブ
﻿computer network,コンピューターネットワーク
﻿computer science,コンピューターサイエンス
﻿computer security,コンピューターセキュリティ
﻿player piano,プレーヤーピアノ
﻿bitumen,ビチューメン
﻿basketball,バスケ
﻿jigsaw,ジグソー
﻿open ticket,オープンチケット
﻿speedboat,スピードボート
﻿thrust,スラスト
﻿camera obscura,カメラオブスキュラ
﻿camera rehearsal,カメラリハーサル
﻿knuckle guard,ナックルガード
﻿radio drama,ラジオドラマ
﻿radio beacon,ラジオビーコン
﻿page printer,ページプリンター
﻿tag line,タグライン
﻿newspaper,ニュースペーパー
﻿sailing,セイリング
﻿slow dance,スローダンス
﻿winter sports,ウィンタースポーツ
﻿field hockey,フィールドホッケー
﻿transistor radio,トランジスターラジオ
﻿dowsing,ダウジング
﻿meerkat,ミーアキャット
﻿microfibre,マイクロファイバー
﻿anole,アノール
﻿negotiator,ネゴシエータ
﻿corporate,コーポレート
﻿pleasure,プレジャー
﻿hot chocolate,ホットチョコレート
﻿whiteout,ホワイトアウト
﻿white asparagus,ホワイトアスパラガス
﻿white chocolate,ホワイトチョコレート
﻿white metal,ホワイトメタル
﻿red card,レッドカード
﻿red pepper,レッドペッパー
﻿yellowcake,イエローケーキ
﻿green tuff,グリーンタフ
﻿bluestocking,ブルーストッキング
﻿blueprint,ブループリント
﻿warmer,ウォーマー
﻿netiquette,ネチケット
﻿Feynman diagram,ファインマンダイアグラム
﻿cuticule,クチクラ
﻿pion,パイオン
﻿bunion,バニオン
﻿momentum,モーメンタム
﻿basketball shoes,バスケットシューズ
﻿geoid,ジオイド
﻿ballroom,ボールルーム
﻿planimeter,プラニメーター
﻿pretzel,プレッツェル
﻿pentaprism,ペンタプリズム
﻿becquerel,ベクレル
﻿laundromat,ローンドロマット
﻿pop music,ポップミュージック
﻿fund trust,ファントラ
﻿minimal music,ミニマルミュージック
﻿glass harmonica,グラスハーモニカ
﻿glass harp,グラスハープ
﻿musical saw,ミュージカルソー
﻿road movie,ロードムービー
﻿focal plane,フォーカルプレーン
﻿sheet film,シートフィルム
﻿roll film,ロールフィルム
﻿reversal film,リバーサルフィルム
﻿pavane,パヴァーヌ
﻿galliard,ガイヤルド
﻿passacaglia,パッサカリア
﻿courante,クーラント
﻿soul music,ソウルミュージック
﻿chamber music,チェンバーミュージック
﻿Prussian,プルシャン
﻿squatter,スクワッター
﻿sonic boom,ソニックブーム
﻿sonic,ソニック
﻿philodendron,フィロデンドロン
﻿master data,マスターデータ
﻿minnesinger,ミンネゼンガー
﻿minstrel,ミンストレル
﻿minstrel show,ミンストレルショー
﻿cheese sandwich,チーズサンド
﻿anime otaku,アニオタ
﻿eland,エランド
﻿impala,インパラ
﻿gazelle,ガゼル
﻿snowboarding,スノーボーディング
﻿metabolic,メタボリック
﻿earth dam,アースダム
﻿rockfill dam,ロックフィルダム
﻿shawm,ショーム
﻿reed organ,リードオルガン
﻿harmonium,ハルモニウム
﻿dumbbell,ダンベル
﻿tapered slacks,テーパールドスラックス
﻿ivy shirt,アイビーシャツ
﻿aeration,エアレーション
﻿scintillation,シンチレーション
﻿serration,セレーション
﻿revelation,レベレーション
﻿constellation,コンステレーション
﻿Gondwana,ゴンドワナ
﻿Pangaea,パンゲア
﻿Laurasia,ローラシア
﻿Gaia,ガイア
﻿dystopia,ディストピア
﻿levirate,レビレート
﻿sororate,ソロレート
﻿Gorgon,ゴルゴン
﻿finch,フィンチ
﻿sock puppet,ソックパペット
﻿potential energy,ポテンシャルエネルギー
﻿Mitochondrial Eve,ミトコンドリアイブ
﻿madrasa,マドラサ
﻿jerrycan,ジェリカン
﻿ganglion,ガングリオン
﻿adenine,アデニン
﻿thymine,チミン
﻿guanine,グアニン
﻿cytosine,シトシン
﻿uracil,ウラシル
﻿anticodon,アンチコドン
﻿polypeptide,ポリペプチド
﻿cash on delivery,キャッシュオンデリバリー
﻿cistron,シストロン
﻿guacamole,ワカモレ
﻿rotation,ローテ
﻿electric guitar,エレクトリックギター
﻿egotism,エゴティズム
﻿power sharing,パワーシェアリング
﻿pyrimidine,ピリミジン
﻿champ,チャンプ
﻿catechin,カテキン
﻿cashew apple,カシューアップル
﻿avalanche,アバランシュ
﻿nobleman,ノーブルマン
﻿staff room,スタッフルーム
﻿pinball,ピンボール
﻿garment,ガーメント
﻿paper,ペイパー
﻿long boots,ロングブーツ
﻿deja vu,ディジャブ
﻿Inuit,イヌイット
﻿matzo,マッツォ
﻿Passover,パスオーバー
﻿medallion,メダリオン
﻿episome,エピソーム
﻿homeostasis,ホメオスタシス
﻿homeosis,ホメオーシス
﻿polygene,ポリジーン
﻿power shovel,パワーショベル
﻿cybermall,サイバーモール
﻿net surfing,ネットサーフィン
﻿biotope,ビオトープ
﻿methane hydrate,メタンハイドレート
﻿ion engine,イオンエンジン
﻿template,テンプレ
﻿diacritical mark,ダイアクリティカルマーク
﻿diacritic,ダイアクリティック
﻿pitch pipe,ピッチパイプ
﻿fluid,フルード
﻿brake fluid,ブレーキフルード
﻿stromatolite,ストロマトライト
﻿Beaujolais Nouveau,ボジョレーヌーヴォー
﻿Kona coffee,コナコーヒー
﻿cichlid,シクリッド
﻿discus,ディスカス
﻿achillea,アキレア
﻿dandelion,ダンデライオン
﻿bean,ビーン
﻿mosasaurus,モササウルス
﻿beans,ビーンズ
﻿power lead,パワーリード
﻿diethylstilbestrol,ジエチルスチルベストロール
﻿fullerene,フラーレン
﻿buckminsterfullerene,バックミンスターフラーレン
﻿central park,セントラルパーク
﻿push bunt,プッシュバント
﻿hoist,ホイスト
﻿basketball hoop,バスケットリング
﻿neoprene,ネオプレン
﻿polychloroprene,ポリクロロプレン
﻿chloroprene,クロロプレン
﻿butadiene rubber,ブタジエンゴム
﻿isoprene,イソプレン
﻿acrylonitrile,アクリロニトリルブタジエンゴム
﻿rubber duck,ラバーダック
﻿light novel,ライトノベル
﻿light novel,ライノベ
﻿appetizer,アピタイザー
﻿main page,メインページ
﻿thrombin,トロンビン
﻿shortcut key,ショートカットキー
﻿kaolin,カオリン
﻿kaolinite,カオリナイト
﻿bone china,ボーンチャイナ
﻿Canadian bacon,カナディアンベーコン
﻿shoulder bacon,ショルダーベーコン
﻿roller conveyor,ロラコンベヤ
﻿lawn tennis,ローンテニス
﻿cliche,クリシェ
﻿associates,アソシエーツ
﻿wrought iron,ロートアイアン
﻿father,パーテル
﻿parting,パーティング
﻿my mixi,マイミク
﻿ecology,エコ
﻿homonym,ホモニム
﻿police box,ポリスボックス
﻿blog comment,ブログコメント
﻿comment spam,コメントスパム
﻿stevia,ステビア
﻿Christmas party,クリスマスパーティー
﻿car wax,カーワックス
﻿card game,カードゲーム
﻿birthday card,バースデーカード
﻿juvenile,ジュベナイル
﻿American Indian,アメリカンインディアン
﻿Dhammapada,ダンマパダ
﻿twin bed,ツインベッド
﻿topic,トピ
﻿marketplace,マーケットプレイス
﻿yeoman,ヨーマン
﻿yeomanry,ヨーマンリー
﻿business letter,ビジネスレター
﻿reconfirm,リコンファーム
﻿smegma,スメグマ
﻿professional soccer,プロサッカー
﻿butterfly valve,バタフライバルブ
﻿butterfly knife,バタフライナイフ
﻿community,コミュ
﻿dungeon,ダンジョン
﻿roadside,ロードサイド
﻿speech contest,スピーチコンテスト
﻿computer system,コンピューターシステム
﻿Abelian,アーベル
﻿appendicitis,アペンディサイティス
﻿treasure,トレジャー
﻿treasure hunter,トレジャーハンター
﻿marimbist,マリンビスト
﻿sports fan,スポーツファン
﻿party dress,パーティードレス
﻿golf course,ゴルフコース
﻿baby food,ベビーフード
﻿fuck you,ファックユー
﻿season pass,シーズンパス
﻿low blow,ローブロー
﻿peanut allergy,ピーナッツアレルギー
﻿nut allergy,ナッツアレルギー
﻿live band,ライブバンド
﻿hey,ヘイ
﻿tool box,ツールボックス
﻿red meat,レッドミート
﻿apartment house,アパートメントハウス
﻿cochineal,コチニール
﻿carmine,カルミン
﻿shot bar,ショットバー
﻿kidney punch,キドニーパンチ
﻿kidney,キドニー
﻿sitcom,シトコム
﻿email magazine,メルマガ
﻿mental health,メンヘル
﻿lux meter,ルクスメーター
﻿tabula rasa,タブララサ
﻿dram,ダラム
﻿no problem,ノープロブレム
﻿elephantine,エレファンタイン
﻿anthocyan,アントシアン
﻿xanthophyll,キサントフィル
﻿myosin,ミオシン
﻿actin,アクチン
﻿high return,ハイリターン
﻿Prussian blue,プルシャンブルー
﻿collocation,コロケーション
﻿vent,ベント
﻿draggable,ドラッガブル
﻿salary,サラ
﻿Dionysus,ディオニュソス
﻿Artemis,アルテミス
﻿Aphrodite,アフロディテ
﻿Poseidon,ポセイドン
﻿Mars,マース
﻿involute,インボリュート
﻿evolute,エボリュート
﻿grid bias,グリッドバイアス
﻿couchette,クシェット
﻿cabin attendant,キャビンアテンダント
﻿computer literacy,コンピュータリテラシー
﻿roller bag,キャスターバッグ
﻿cassette recorder,カセットレコーダー
﻿grammar school,グラマースクール
﻿clivia,クリビア
﻿convolvulus,コンボルブルス
﻿creator,クリエイター
﻿challenger,チャレンジャー
﻿cigarette case,シガレットケース
﻿cigarette pants,シガレットパンツ
﻿cigarette holder,シガレットホールダー
﻿gravel,グラベル
﻿caisson,ケーソン
﻿acoustic emission,アコースティックエミッション
﻿underpinning,アンダーピニング
﻿sounding,サウンディング
﻿suction,サクション
﻿geosynthetic,ジオシンセティックス
﻿silt,シルト
﻿slaking,スレーキング
﻿cementation,セメンテーション
﻿soil cement,ソイルセメント
﻿dilatancy,ダイレイタンシー
﻿trench,トレンチ
﻿footing,フーチング
﻿boiling,ボイリング
﻿rheology,レオロジー
﻿rockfill,ロックフィル
﻿shunt,シャント
﻿candlelight,キャンドルライト
﻿set menu,セットメニュー
﻿super technology,オーバーテクノロジー
﻿fortune cookie,フォーチュンクッキー
﻿Christmas pudding,プラムプディング
﻿blini,ブリヌイ
﻿blintz,ブリンツ
﻿consolidation,コンソリデーション
﻿space invaders,スペースインベーダー
﻿incest taboo,インセストタブー
﻿cowboy boots,カウボーイブーツ
﻿bagasse,バガス
﻿samosa,サモサ
﻿jeepney,ジープニー
﻿finish,フィナンシェ
﻿sofa bed,ソファーベッド
﻿tennis ball,テニスボール
﻿metabolism,メタボリズム
﻿arbitrage,アービトラージ
﻿shorts,ハーフパンツ
﻿soup stock,スープストック
﻿soup cup,スープカップ
﻿sesame,セサミ
﻿soupspoon,スープスプーン
﻿soup bowl,スープボウル
﻿Emmental,エメンタール
﻿carafe,カラフ
﻿direct mail,ディーエム
﻿aggradation,アグラデーション
﻿snowdrop,スノードロップ
﻿engine stall,エンジンストップ
﻿hypervisor,ハイパーバイザー
﻿media scrum,メディアスクラム
﻿gender balance,ジェンダーバランス
﻿analysis,アナライズ
﻿hair stylist,ヘアアーティスト
﻿monumental,モニュメンタル
﻿running shoes,ランニングシューズ
﻿rainwear,レインウエア
﻿master,マイスター
﻿martial arts,マーシャルアーツ
﻿clitoris,クリト
﻿polysulphone,ポリスルホン
﻿devilish,デヴィリッシュ
﻿cucumber kimchi,オイキムチ
﻿moleskin,モールスキン
﻿isopropyl alcohol,イソプロピルアルコール
﻿isopropanol,イソプロパノール
﻿pelargonium,ペラルゴニウム
﻿misch metal,ミッシュメタル
﻿cinnabar,シナバー
﻿rerouting,リルート
﻿Eppendorf tube,エッペンチューブ
﻿witch hazel,ウィッチヘーゼル
﻿hub,ハブ
﻿double room,ツインルーム
﻿mother,オモニ
﻿Great Britain,グレートブリテン
﻿masturbation,ズリセン
﻿mob,モブ
﻿subprime,サブプライム
﻿monolithic,モノリシック
﻿walker,ウォーカー
﻿worksheet,ワークシート
﻿renderer,レンダラ
﻿standalone,スタンドアローン
﻿master code,マスターコード
﻿makes sense,メイクセンス
﻿The Netherlands,ネーデルランド
﻿comment,コメ
﻿Gantt chart,ガントチャート
﻿ERwin,アーウィン
﻿archiving,アーカイビング
﻿archive bit,アーカイブビット
﻿archive file,アーカイブファイル
﻿arctangent,アークタンジェント
﻿earth band,アースバンド
﻿AARnet,アーネット
﻿arbitration group,アービトレーショングループ
﻿arbitration level,アービトレーションレベル
﻿iAnywhere,アイエニウェア
﻿IO control,アイオーコントロール
﻿iconic interface,アイコニックインタフェース
﻿icon editor,アイコンエディタ
﻿icon character,アイコンキャラクタ
﻿iCOMP,アイコンプ
﻿icon button,アイコンボタン
﻿ish,アイシュ
﻿eye diagram,アイダイアグラム
﻿Itanium,アイテニアム
﻿idea processor,アイデアプロセッサ
﻿idle interrupt,アイドルインタラプト
﻿idle flag,アイドルフラグ
﻿iPaq,アイパック
﻿iBook,アイブック
﻿iMac,アイマック
﻿outbound,アウトバウンド
﻿output port,アウトプットポート
﻿outline font,アウトラインフォント
﻿outline processor,アウトラインプロセッサ
﻿outline utility,アウトラインユーティリティ
﻿outline level,アウトラインレベル
﻿accounting file,アカウンティングファイル
﻿account alias,アカウントエイリアス
﻿account domain,アカウントドメイン
﻿account policy,アカウントポリシー
﻿account lockout,アカウントロックアウト
﻿academic package,アカデミックパッケージ
﻿action query,アクションクエリ
﻿accessor,アクセサ
﻿access arm,アクセスアーム
﻿access key,アクセスキー
﻿access context,アクセスコンテキスト
﻿access control list,アクセスコントロールリスト
﻿access switch,アクセススイッチ
﻿access speed,アクセススピード
﻿access block,アクセスブロック
﻿access provider,アクセスプロバイダ
﻿access mask,アクセスマスク
﻿access mode,アクセスモード
﻿access level,アクセスレベル
﻿access log,アクセスログ
﻿accelerator,アクセラレータ
﻿accelerator card,アクセラレータカード
﻿activity model step,アクティビティモデルステップ
﻿active window,アクティブウィンドウ
﻿ActiveX,アクティブエックス
﻿ActiveX Documents,アクティブエックスドキュメンツ
﻿active object,アクティブオブジェクト
﻿active cache,アクティブキャッシュ
﻿active content,アクティブコンテンツ
﻿Active Server Page,アクティブサーバーページ
﻿ActiveServerPages,アクティブサーバーページズ
﻿active scripting,アクティブスクリプティング
﻿active script,アクティブスクリプト
﻿active setup,アクティブセットアップ
﻿active cell,アクティブセル
﻿active channel,アクティブチャネル
﻿Active Directory,アクティブディレクトリ
﻿Active Desktop,アクティブデスクトップ
﻿active hub,アクティブハブ
﻿Active Perl,アクティブパール
﻿active file,アクティブファイル
﻿active program,アクティブプログラム
﻿active matrix display,アクティブマトリクスディスプレイ
﻿acknowledge,アクノリッジ
﻿Agora,アゴラ
﻿assistant object,アシスタントオブジェクト
﻿agility,アジリティ
﻿ASCII Net,アスキーネット
﻿ASCII file,アスキーファイル
﻿ASCII mode,アスキーモード
﻿aspect ratio,アスペクトレシオ
﻿Athlon,アスロン
﻿ascender,アセンダ
﻿assembly cache,アセンブリキャッシュ
﻿assembly manifest,アセンブリマニフェスト
﻿attack pattern,アタックパターン
﻿attach file,アタッチファイル
﻿attachment unit interface,アタッチメントユニットインタフェース
﻿adaptor card,アダプタカード
﻿adaptation layer,アダプテーションレイヤ
﻿at nifty,アットニフティ
﻿upsample,アップサンプル
﻿upstream,アップストリーム
﻿uptime,アップタイム
﻿uplink,アップリンク
﻿uplink license,アップリンクライセンス
﻿Apple key,アップルキー
﻿Apple Desktop Bus,アップルデスクトップバス
﻿AppleTalk,アップルトーク
﻿Apple menu,アップルメニュー
﻿uploader,アップローダ
﻿upward compatibility,アップワードコンパチブル
﻿attribution,アトリビューション
﻿adware,アドウェア
﻿advisory staff,アドバイザリスタッフ
﻿Adobe,アドビ
﻿adventure game,アドベンチャーゲーム
﻿ad hoc mode,アドホックモード
﻿administration,アドミニストレーション
﻿add mode,アドモード
﻿addressing,アドレシング
﻿address counter,アドレスカウンタ
﻿address classes,アドレスクラス
﻿address generator,アドレスジェネレータ
﻿address screening,アドレススクリーニング
﻿address decoder,アドレスデコーダ
﻿address bus,アドレスバス
﻿address mask,アドレスマスク
﻿address register,アドレスレジスタ
﻿address range,アドレスレンジ
﻿addressing mode,アドレッシングモード
﻿analog computer,アナログコンピュータ
﻿analog joystick,アナログジョイスティック
﻿analog switch,アナログスイッチ
﻿analog data,アナログデータ
﻿analog display,アナログディスプレイ
﻿analog board,アナログボード
﻿analog port,アナログポート
﻿analog modem,アナログモデム
﻿animation software,アニメーションソフト
﻿annoybot,アノイボット
﻿anonymous FTP,アノニマスエフティーピー
﻿anonymous server,アノニマスサーバ
﻿aperture grille,アパーチャグリル
﻿aperture card,アパチャカード
﻿affinity,アフィニティ
﻿affiliate service,アフィリエイトサービス
﻿affiliate program,アフィリエイトプログラム
﻿affiliate marketing,アフィリエイトマーケティング
﻿After Dark,アフターダーク
﻿appliance server,アプライアンスサーバ
﻿application icon,アプリケーションアイコン
﻿application key,アプリケーションキー
﻿application server,アプリケーションサーバ
﻿Application Service Provider,アプリケーションサービスプロバイダ
﻿application generator,アプリケーションジェネレータ
﻿application software,アプリケーションソフトウェア
